Timestamp,Telemetry_Gap_ms,Mean_Gap_ms,Max_Gap_ms
2026-08-21T23:02:14.360400,0.353,0.353,0.353
2026-08-21T23:02:14.360636,0.297,0.325,0.353
2026-08-21T23:02:14.360842,0.213,0.288,0.353
2026-08-21T23:02:14.360992,0.160,0.256,0.353
2026-08-21T23:02:14.361131,0.140,0.232,0.353
2026-08-21T23:02:14.361267,0.137,0.217,0.353
2026-08-21T23:02:14.361398,0.132,0.205,0.353
2026-08-21T23:02:14.361529,0.131,0.195,0.353
2026-08-21T23:02:14.361669,0.129,0.188,0.353
2026-08-21T23:02:14.361812,0.151,0.184,0.353
2026-08-21T23:02:14.361943,0.131,0.180,0.353
2026-08-21T23:02:14.362070,0.129,0.175,0.353
2026-08-21T23:02:14.362200,0.130,0.172,0.353
2026-08-21T23:02:14.362325,0.125,0.168,0.353
2026-08-21T23:02:14.362508,0.180,0.169,0.353
2026-08-21T23:02:14.362653,0.147,0.168,0.353
2026-08-21T23:02:14.362831,0.175,0.168,0.353
2026-08-21T23:02:14.362968,0.140,0.167,0.353
2026-08-21T23:02:14.363096,0.129,0.165,0.353
2026-08-21T23:02:14.363233,0.137,0.163,0.353
2026-08-21T23:02:14.363355,0.122,0.161,0.353
2026-08-21T23:02:14.363475,0.121,0.160,0.353
2026-08-21T23:02:14.363594,0.119,0.158,0.353
2026-08-21T23:02:14.363735,0.136,0.157,0.353
2026-08-21T23:02:14.363867,0.132,0.156,0.353
2026-08-21T23:02:14.363990,0.127,0.155,0.353
2026-08-21T23:02:14.364111,0.121,0.154,0.353
2026-08-21T23:02:14.364232,0.121,0.152,0.353
2026-08-21T23:02:14.364350,0.119,0.151,0.353
2026-08-21T23:02:14.364470,0.119,0.150,0.353
2026-08-21T23:02:14.364588,0.118,0.149,0.353
2026-08-21T23:02:14.364719,0.128,0.148,0.353
2026-08-21T23:02:14.364852,0.134,0.148,0.353
2026-08-21T23:02:14.364974,0.123,0.147,0.353
2026-08-21T23:02:14.365126,0.151,0.147,0.353
2026-08-21T23:02:14.365260,0.134,0.147,0.353
2026-08-21T23:02:14.365414,0.150,0.147,0.353
2026-08-21T23:02:14.365570,0.152,0.147,0.353
2026-08-21T23:02:14.365729,0.157,0.147,0.353
2026-08-21T23:02:14.365907,0.178,0.148,0.353
2026-08-21T23:02:14.366043,0.144,0.148,0.353
2026-08-21T23:02:14.366170,0.127,0.148,0.353
2026-08-21T23:02:14.366293,0.125,0.147,0.353
2026-08-21T23:02:14.366417,0.123,0.147,0.353
2026-08-21T23:02:14.366541,0.123,0.146,0.353
2026-08-21T23:02:14.366702,0.141,0.146,0.353
2026-08-21T23:02:14.366859,0.170,0.146,0.353
2026-08-21T23:02:14.367000,0.144,0.146,0.353
2026-08-21T23:02:14.367133,0.136,0.146,0.353
2026-08-21T23:02:14.367299,0.153,0.146,0.353
2026-08-21T23:02:14.367460,0.167,0.147,0.353
2026-08-21T23:02:14.367600,0.146,0.147,0.353
2026-08-21T23:02:14.367761,0.156,0.147,0.353
2026-08-21T23:02:14.367913,0.154,0.147,0.353
2026-08-21T23:02:14.368092,0.181,0.148,0.353
2026-08-21T23:02:14.368239,0.149,0.148,0.353
2026-08-21T23:02:14.368399,0.159,0.148,0.353
2026-08-21T23:02:14.368539,0.141,0.148,0.353
2026-08-21T23:02:14.368678,0.130,0.147,0.353
2026-08-21T23:02:14.368860,0.186,0.148,0.353
2026-08-21T23:02:14.369001,0.146,0.148,0.353
2026-08-21T23:02:14.369134,0.134,0.148,0.353
2026-08-21T23:02:14.369265,0.131,0.148,0.353
2026-08-21T23:02:14.369396,0.131,0.147,0.353
2026-08-21T23:02:14.369522,0.127,0.147,0.353
2026-08-21T23:02:14.369631,0.116,0.147,0.353
2026-08-21T23:02:14.369744,0.111,0.146,0.353
2026-08-21T23:02:14.369854,0.110,0.145,0.353
2026-08-21T23:02:14.369954,0.103,0.145,0.353
2026-08-21T23:02:14.370056,0.101,0.144,0.353
2026-08-21T23:02:14.370152,0.097,0.144,0.353
2026-08-21T23:02:14.370251,0.098,0.143,0.353
2026-08-21T23:02:14.370351,0.100,0.142,0.353
2026-08-21T23:02:14.370449,0.098,0.142,0.353
2026-08-21T23:02:14.370581,0.129,0.142,0.353
2026-08-21T23:02:14.370705,0.122,0.141,0.353
2026-08-21T23:02:14.370844,0.140,0.141,0.353
2026-08-21T23:02:14.370956,0.114,0.141,0.353
2026-08-21T23:02:14.371059,0.104,0.140,0.353
2026-08-21T23:02:14.371167,0.109,0.140,0.353
2026-08-21T23:02:14.371266,0.100,0.140,0.353
2026-08-21T23:02:14.371365,0.097,0.139,0.353
2026-08-21T23:02:14.371463,0.098,0.139,0.353
2026-08-21T23:02:14.371566,0.102,0.138,0.353
2026-08-21T23:02:14.371675,0.101,0.138,0.353
2026-08-21T23:02:14.371788,0.121,0.137,0.353
2026-08-21T23:02:14.371888,0.102,0.137,0.353
2026-08-21T23:02:14.371986,0.097,0.137,0.353
2026-08-21T23:02:14.372111,0.123,0.136,0.353
2026-08-21T23:02:14.372215,0.105,0.136,0.353
2026-08-21T23:02:14.372319,0.104,0.136,0.353
2026-08-21T23:02:14.372418,0.101,0.135,0.353
2026-08-21T23:02:14.372517,0.098,0.135,0.353
2026-08-21T23:02:14.372615,0.098,0.135,0.353
2026-08-21T23:02:14.372754,0.135,0.135,0.353
2026-08-21T23:02:14.372874,0.121,0.134,0.353
2026-08-21T23:02:14.372997,0.123,0.134,0.353
2026-08-21T23:02:14.373102,0.108,0.134,0.353
2026-08-21T23:02:14.373203,0.101,0.134,0.353
2026-08-21T23:02:14.373312,0.109,0.133,0.353
2026-08-21T23:02:14.373413,0.100,0.131,0.297
2026-08-21T23:02:14.373513,0.101,0.129,0.213
2026-08-21T23:02:14.373611,0.099,0.128,0.186
2026-08-21T23:02:14.373723,0.109,0.127,0.186
2026-08-21T23:02:14.373830,0.109,0.127,0.186
2026-08-21T23:02:14.373935,0.105,0.127,0.186
2026-08-21T23:02:14.374033,0.099,0.126,0.186
2026-08-21T23:02:14.374130,0.098,0.126,0.186
2026-08-21T23:02:14.374234,0.101,0.126,0.186
2026-08-21T23:02:14.374338,0.105,0.125,0.186
2026-08-21T23:02:14.374434,0.098,0.125,0.186
2026-08-21T23:02:14.374532,0.098,0.125,0.186
2026-08-21T23:02:14.374631,0.099,0.124,0.186
2026-08-21T23:02:14.374742,0.107,0.124,0.186
2026-08-21T23:02:14.374878,0.137,0.124,0.186
2026-08-21T23:02:14.374991,0.113,0.123,0.186
2026-08-21T23:02:14.375112,0.121,0.123,0.186
2026-08-21T23:02:14.375216,0.106,0.123,0.186
2026-08-21T23:02:14.375316,0.101,0.122,0.186
2026-08-21T23:02:14.375421,0.104,0.122,0.186
2026-08-21T23:02:14.375520,0.099,0.122,0.186
2026-08-21T23:02:14.375619,0.100,0.121,0.186
2026-08-21T23:02:14.375729,0.107,0.121,0.186
2026-08-21T23:02:14.375838,0.109,0.121,0.186
2026-08-21T23:02:14.375937,0.101,0.121,0.186
2026-08-21T23:02:14.376036,0.100,0.121,0.186
