Timestamp,Telemetry_Gap_ms,Telemetry_Mean_Gap_ms,Telemetry_Max_Gap_ms,Telemetry_Std_Gap_ms,Blockchain_T_total_ms,TX_Count,Block_Number,Blockchain_Status,Altitude_m,Speed_mps,Heading_deg,Latitude,Longitude,Voltage_V,Current_A,Satellites
2026-04-28T02:14:12.073398,7.80,7.80,7.80,0.00,2684.457,1,875,OK,0.000,0.000,0,0.0000000,0.0000000,0.000,0.000,0
2026-04-28T02:14:16.086380,2.50,2.05,34.80,6.14,4012.724,2,877,OK,-0.017,0.160,99,24.3674675,88.6261511,0.000,-0.010,8
2026-04-28T02:14:20.101426,0.04,1.94,32.93,6.31,4014.783,3,879,OK,-0.018,0.222,99,24.3674609,88.6261463,0.000,-0.010,8
2026-04-28T02:14:24.012039,2.04,1.98,34.83,6.49,3910.380,4,881,OK,-0.055,0.253,99,24.3674531,88.6261460,0.000,-0.010,9
2026-04-28T02:14:28.024942,2.82,2.11,32.84,6.32,4012.652,5,883,OK,-0.051,0.245,99,24.3674492,88.6261420,0.000,-0.010,9
2026-04-28T02:14:30.091482,2.16,2.05,32.88,6.14,2066.319,6,884,OK,-0.010,0.158,99,24.3674481,88.6261393,0.000,-0.010,9
2026-04-28T02:14:34.104921,0.76,2.09,37.85,6.61,4013.198,7,886,OK,0.004,0.077,99,24.3674470,88.6261384,0.000,-0.010,9
2026-04-28T02:14:38.017343,2.93,2.10,35.11,6.33,3912.201,8,888,OK,0.042,0.032,99,24.3674449,88.6261385,0.000,-0.010,9
2026-04-28T02:14:42.033109,1.73,2.06,35.78,6.22,4015.559,9,890,OK,0.068,0.064,99,24.3674455,88.6261384,0.000,-0.010,9
2026-04-28T02:14:44.100204,1.41,2.08,32.45,6.08,2066.801,10,891,OK,0.117,0.106,99,24.3674497,88.6261362,0.000,-0.010,9
2026-04-28T02:14:48.012212,1.73,2.06,36.53,6.33,3911.750,11,893,OK,0.162,0.211,99,24.3674560,88.6261369,0.000,-0.010,9
2026-04-28T02:14:52.027589,2.39,2.10,38.32,6.72,4015.118,12,895,OK,0.195,0.307,99,24.3674636,88.6261353,0.000,-0.010,9
2026-04-28T02:14:54.198848,3.44,2.19,36.53,6.82,2171.046,13,896,OK,0.254,0.375,99,24.3674726,88.6261347,0.000,-0.010,9
2026-04-28T02:14:58.010314,33.79,2.75,35.16,7.93,3811.244,14,898,OK,0.252,0.396,99,24.3674805,88.6261315,0.000,-0.010,9
2026-04-28T02:15:00.076599,2.18,2.71,35.85,7.92,2066.042,15,899,OK,0.250,0.367,99,24.3674874,88.6261298,0.000,-0.010,9
2026-04-28T02:15:04.090461,2.84,2.05,34.66,6.19,4013.594,16,901,OK,0.185,0.403,99,24.3674965,88.6261269,0.000,-0.010,9
2026-04-28T02:15:08.109504,2.55,2.02,33.72,6.18,4018.703,17,903,OK,0.194,0.350,99,24.3675041,88.6261284,0.000,-0.010,9
